,start,end,who_said,line,similar_line,similarity,similarity_category
0,"00:00:42,800","00:00:44,802",Announcer,Report to your stations immediately.,Report to your stations immediately,1.0,100%
1,"00:00:44,960","00:00:47,721",Announcer,This is not a drill. We are under attack!,This is not a drill,0.9,90% - 99%
2,"00:00:49,120","00:00:51,088",Announcer,We are under attack!,We are under attack,1.0,100%
3,"00:01:52,200","00:01:54,487",Tony Stark,Shit!,Shit,1.0,100%
4,"00:01:52,200","00:01:54,487",Steve Rogers,Language!,Language,1.0,100%
5,"00:01:54,600","00:01:56,204",Steve Rogers,"Jarvis, what's the view from upstairs?","JARVIS, what's the view from upstairs",1.0,100%
6,"00:01:56,600","00:02:00,286",JARVIS,The central building is protected by some kind of energy shield.,The central building is protected by some kind of energy shield,1.0,100%
7,"00:02:00,800","00:02:04,522",JARVIS,Strucker's technology is well beyond any other Hydra base we've taken.,Strucker's technology is well beyond any other HYDRA base we've taken,1.0,100%
8,"00:02:07,360","00:02:08,930",Thor,Loki's sceptre must be here.,Loki's scepter must be here,0.97,90% - 99%
9,"00:02:09,560","00:02:11,440",Thor,Strucker couldn't mount this defence without it.,Strucker couldn't mount this defense without it,0.99,90% - 99%
10,"00:02:12,160","00:02:13,730",Thor,At long last.,At long last,1.0,100%
11,"00:02:25,200","00:02:27,407",Natasha Romanoff,"At long last is lasting a little long, boys.","â€śAt long lastâ€ť is lasting a little long, boys",0.92,90% - 99%
12,"00:02:32,320","00:02:34,846",Clint Barton,Yeah. I think we lost the element of surprise.,I think we lost the element of surprise,1.0,100%
13,"00:02:36,400","00:02:38,607",Tony Stark,Wait a second.,Wait a second,1.0,100%
14,"00:02:36,400","00:02:38,607",Tony Stark,No one else is gonna deal with the fact,No one else is going to deal with the fact that Cap just said language,0.87,80% - 89%
15,"00:02:38,760","00:02:40,524",Tony Stark,that Cap just said Language?,No one else is going to deal with the fact that Cap just said language,0.82,80% - 89%
16,"00:02:40,680","00:02:42,205",Steve Rogers,I know.,I know,1.0,100%
17,"00:02:47,240","00:02:49,527",Steve Rogers,Just slipped out.,It just slipped out,0.89,80% - 89%
18,"00:02:55,600","00:02:57,364",Strucker,Who gave the order to attack?,Who gave the order to attack,1.0,100%
19,"00:02:57,480","00:02:59,767",Fortress Soldier,"Herr Strucker, it's the Avengers.","Herr Strucker, it's the Avengers",1.0,100%
20,"00:02:59,920","00:03:02,764",Other Fortress Soldier,They landed in the far woods.,"They landed in the far woods, the perimeter guard panicked",0.97,90% - 99%
21,"00:02:59,920","00:03:02,764",Other Fortress Soldier,The perimeter guard panicked.,"They landed in the far woods, the perimeter guard panicked",0.87,80% - 89%
22,"00:03:02,920","00:03:04,843",Strucker,They have to be after the sceptre.,They have to be after the scepter,0.99,90% - 99%
23,"00:03:06,080","00:03:08,447",Strucker,Can we hold them?,Can we hold them,1.0,100%
24,"00:03:06,080","00:03:08,447",Other Fortress Soldier,They're the Avengers.,"They landed in the far woods, the perimeter guard panicked",0.82,80% - 89%
25,"00:03:08,560","00:03:10,164",Strucker,Deploy the rest of the tanks.,Deploy the rest of the tanks,1.0,100%
26,"00:03:10,320","00:03:12,209",Strucker,Concentrate fire on the weak ones.,Concentrate fire on the weak ones,1.0,100%
27,"00:03:12,360","00:03:14,681",Strucker,A hit may make them close ranks.,A hit can make them close ranks,0.97,90% - 99%
28,"00:03:16,280","00:03:18,123",Strucker,Everything we've accomplished...,Everything we've accomplished,1.0,100%
29,"00:03:18,280","00:03:20,601",Strucker,But we're on the verge of our greatest breakthrough.,But we're on the verge of our greatest breakthrough,1.0,100%
30,"00:03:20,800","00:03:22,404",Dr. List,Then let's show them what we've accomplished.,Then let's show them what we've accomplished,1.0,100%
31,"00:03:22,520","00:03:24,204",Dr. List,Send out the twins.,Send out the twins,1.0,100%
32,"00:03:25,480","00:03:27,289",Strucker,It's too soon.,It's too soon,1.0,100%
33,"00:03:27,400","00:03:29,528",Dr. List,It's what they signed up for.,It's what they signed up for,1.0,100%
34,"00:03:30,080","00:03:32,003",Strucker,My men can hold them.,My men can hold them,1.0,100%
35,"00:03:39,640","00:03:41,529",Jarvis,"Sir, the city is taking fire.","Sir, the city is taking fire",1.0,100%
36,"00:03:44,400","00:03:47,882",Tony Stark,"Well, we know Strucker's not gonna worry about civilian casualties.","Well, we know Strucker's not going to worry about civilian casualties",0.88,80% - 89%
37,"00:03:48,040","00:03:49,690",Tony Stark,Send in the Iron Legion.,Send in the Iron Legion,1.0,100%
38,"00:03:54,920","00:03:57,491",Iron Legion,This quadrant is unsafe.,This quadrant is unsafe,1.0,100%
39,"00:03:54,920","00:03:57,491",Iron Legion,Please back away.,Please back away,1.0,100%
40,"00:03:58,400","00:04:00,004",Iron Legion,We are here to help.,We are here to help,1.0,100%
41,"00:04:01,120","00:04:03,487",Iron Legion,This quadrant is unsafe.,This quadrant is unsafe,1.0,100%
42,"00:04:01,120","00:04:03,487",Iron Legion,Please back away.,Please back away,1.0,100%
43,"00:04:05,240","00:04:06,321",Iron Legion,Please back away.,Please back away,1.0,100%
44,"00:04:06,440","00:04:08,568",Iron Legion,We wish to avoid collateral damage.,We wish to avoid collateral damage and will inform you when this current conflict is resolved,0.92,90% - 99%
45,"00:04:06,440","00:04:08,568",Iron Legion,Costel!,We wish to avoid collateral damage and will inform you when this current conflict is resolved,0.22,< 80%
46,"00:04:08,680","00:04:11,160",Iron Legion,We will inform you when this current conflict is resolved.,We wish to avoid collateral damage and will inform you when this current conflict is resolved,0.95,90% - 99%
47,"00:04:11,280","00:04:13,328",Iron Legion,We are here to help.,We are here to help,1.0,100%
48,"00:04:11,280","00:04:13,328",Iron Legion,"Avengers, go home!",We are here to help,0.31,< 80%
49,"00:04:15,760","00:04:16,921",Iron Legion,We are here to help.,We are here to help,1.0,100%
50,"00:04:18,000","00:04:19,843",Strucker,We will not yield!,We will not yield,1.0,100%
51,"00:04:20,480","00:04:23,768",Strucker,The Americans sent their circus freaks to test us.,The Americans sent their circus freaks to test us,1.0,100%
52,"00:04:24,360","00:04:26,806",Strucker,We will send them back in bags.,We will send them back in bags,1.0,100%
53,"00:04:29,160","00:04:32,050",Soldiers,No surrender!,No surrender,1.0,100%
54,"00:04:29,160","00:04:32,050",Soldiers,No surrender!,No surrender,1.0,100%
55,"00:04:33,200","00:04:35,089",Strucker,I am going to surrender.,I am going to surrender,1.0,100%
56,"00:04:35,760","00:04:37,171",Strucker,You delete everything.,You will delete everything,0.93,90% - 99%
57,"00:04:37,320","00:04:40,690",Tony Stark,"If we give the Avengers the weapons, they may not look too far into what we've been...","Well, we know Strucker's not going to worry about civilian casualties",0.91,90% - 99%
58,"00:04:40,840","00:04:42,922",Dr. List,The twins.,The twins,1.0,100%
59,"00:04:40,840","00:04:42,922",Iron Legion,They are not ready to take on...,We are here to help,0.85,80% - 89%
60,"00:04:43,040","00:04:45,247",Dr. List,"No, no, I mean...","No, no",0.89,80% - 89%
61,"00:04:45,360","00:04:46,850",Dr. List,Twins.,Twins,1.0,100%
62,"00:05:13,160","00:05:15,083",Pietro Maximoff,You didn't see that coming?,You didn't see that coming,1.0,100%
63,"00:05:21,360","00:05:23,681",Natasha Romanoff,Clint!,Clint,1.0,100%
64,"00:05:25,760","00:05:27,080",Steve Rogers,We have an Enhanced in the field.,We have an enhanced in the field,1.0,100%
65,"00:05:27,160","00:05:28,161",Natasha Romanoff,Clint's hit!,Clint's hit,1.0,100%
