,start,end,who_said,line,similarity,similar_line
0,"00:00:42,800","00:00:44,802",Announcer,Report to your stations immediately.,0.97,Report to your stations immediately
1,"00:00:44,960","00:00:47,721",Announcer,This is not a drill. We are under attack!,0.85,This is not a drill
2,"00:00:49,120","00:00:51,088",Announcer,We are under attack!,0.96,We are under attack
3,"00:01:52,200","00:01:54,487",Tony Stark,Shit!,0.63,Shit
4,"00:01:52,200","00:01:54,487",Steve Rogers,Language!,0.59,Language
5,"00:01:54,600","00:01:56,204",Steve Rogers,"Jarvis, what's the view from upstairs?",0.96,"JARVIS, what's the view from upstairs"
6,"00:01:56,600","00:02:00,286",JARVIS,The central building is protected by some kind of energy shield.,0.99,The central building is protected by some kind of energy shield
7,"00:02:00,800","00:02:04,522",JARVIS,Strucker's technology is well beyond any other Hydra base we've taken.,0.99,Strucker's technology is well beyond any other HYDRA base we've taken
8,"00:02:07,360","00:02:08,930",Thor,Loki's sceptre must be here.,0.95,Loki's scepter must be here
9,"00:02:09,560","00:02:11,440",Thor,Strucker couldn't mount this defence without it.,0.98,Strucker couldn't mount this defense without it
10,"00:02:12,160","00:02:13,730",Thor,At long last.,0.95,At long last
11,"00:02:25,200","00:02:27,407",Natasha Romanoff,"At long last is lasting a little long, boys.",0.9,"â€śAt long lastâ€ť is lasting a little long, boys"
12,"00:02:32,320","00:02:34,846",Clint Barton,Yeah. I think we lost the element of surprise.,0.96,I think we lost the element of surprise
13,"00:02:36,400","00:02:38,607",Tony Stark,Wait a second.,0.93,Wait a second
14,"00:02:36,400","00:02:38,607",Tony Stark,No one else is gonna deal with the fact,0.83,No one else is going to deal with the fact that Cap just said language
15,"00:02:38,760","00:02:40,524",Tony Stark,that Cap just said Language?,0.74,No one else is going to deal with the fact that Cap just said language
16,"00:02:40,680","00:02:42,205",Steve Rogers,I know.,0.93,I know
17,"00:02:47,240","00:02:49,527",Steve Rogers,Just slipped out.,0.73,It just slipped out
18,"00:02:55,600","00:02:57,364",Strucker,Who gave the order to attack?,0.97,Who gave the order to attack
19,"00:02:57,480","00:02:59,767",Fortress Soldier,"Herr Strucker, it's the Avengers.",0.98,"Herr Strucker, it's the Avengers"
20,"00:02:59,920","00:03:02,764",Other Fortress Soldier,They landed in the far woods.,0.95,"They landed in the far woods, the perimeter guard panicked"
21,"00:02:59,920","00:03:02,764",Other Fortress Soldier,The perimeter guard panicked.,0.77,"They landed in the far woods, the perimeter guard panicked"
22,"00:03:02,920","00:03:04,843",Strucker,They have to be after the sceptre.,0.98,They have to be after the scepter
23,"00:03:06,080","00:03:08,447",Strucker,Can we hold them?,0.96,Can we hold them
24,"00:03:06,080","00:03:08,447",Strucker,They're the Avengers.,0.76,But we're on the verge of our greatest breakthrough
25,"00:03:08,560","00:03:10,164",Strucker,Deploy the rest of the tanks.,0.99,Deploy the rest of the tanks
26,"00:03:10,320","00:03:12,209",Strucker,Concentrate fire on the weak ones.,0.98,Concentrate fire on the weak ones
27,"00:03:12,360","00:03:14,681",Strucker,A hit may make them close ranks.,0.95,A hit can make them close ranks
28,"00:03:16,280","00:03:18,123",Strucker,Everything we've accomplished...,0.98,Everything we've accomplished
29,"00:03:18,280","00:03:20,601",Strucker,But we're on the verge of our greatest breakthrough.,0.99,But we're on the verge of our greatest breakthrough
30,"00:03:20,800","00:03:22,404",Dr. List,Then let's show them what we've accomplished.,0.99,Then let's show them what we've accomplished
31,"00:03:22,520","00:03:24,204",Dr. List,Send out the twins.,0.94,Send out the twins
32,"00:03:25,480","00:03:27,289",Strucker,It's too soon.,0.97,It's too soon
33,"00:03:27,400","00:03:29,528",Dr. List,It's what they signed up for.,0.98,It's what they signed up for
34,"00:03:30,080","00:03:32,003",Strucker,My men can hold them.,0.97,My men can hold them
35,"00:03:39,640","00:03:41,529",Jarvis,"Sir, the city is taking fire.",0.98,"Sir, the city is taking fire"
36,"00:03:44,400","00:03:47,882",Tony Stark,"Well, we know Strucker's not gonna worry about civilian casualties.",0.91,"Well, we know Strucker's not going to worry about civilian casualties"
37,"00:03:48,040","00:03:49,690",Tony Stark,Send in the Iron Legion.,0.97,Send in the Iron Legion
38,"00:03:54,920","00:03:57,491",Iron Legion,This quadrant is unsafe.,0.95,This quadrant is unsafe
39,"00:03:54,920","00:03:57,491",Iron Legion,Please back away.,0.93,Please back away
40,"00:03:58,400","00:04:00,004",Iron Legion,We are here to help.,0.98,We are here to help
41,"00:04:01,120","00:04:03,487",Iron Legion,This quadrant is unsafe.,0.95,This quadrant is unsafe
42,"00:04:01,120","00:04:03,487",Iron Legion,Please back away.,0.93,Please back away
43,"00:04:05,240","00:04:06,321",Iron Legion,Please back away.,0.93,Please back away
44,"00:04:06,440","00:04:08,568",Iron Legion,We wish to avoid collateral damage.,0.9,We wish to avoid collateral damage and will inform you when this current conflict is resolved
45,"00:04:06,440","00:04:08,568",Strucker,Costel!,0.25,You will delete everything
46,"00:04:08,680","00:04:11,160",Iron Legion,We will inform you when this current conflict is resolved.,0.95,We wish to avoid collateral damage and will inform you when this current conflict is resolved
47,"00:04:11,280","00:04:13,328",Iron Legion,We are here to help.,0.98,We are here to help
48,"00:04:11,280","00:04:13,328",Strucker,"Avengers, go home!",0.53,We will send them back in bags
49,"00:04:15,760","00:04:16,921",Iron Legion,We are here to help.,0.98,We are here to help
50,"00:04:18,000","00:04:19,843",Strucker,We will not yield!,0.97,We will not yield
51,"00:04:20,480","00:04:23,768",Strucker,The Americans sent their circus freaks to test us.,0.99,The Americans sent their circus freaks to test us
52,"00:04:24,360","00:04:26,806",Strucker,We will send them back in bags.,0.99,We will send them back in bags
53,"00:04:29,160","00:04:32,050",Soldiers,No surrender!,0.85,No surrender
54,"00:04:29,160","00:04:32,050",Soldiers,No surrender!,0.85,No surrender
55,"00:04:33,200","00:04:35,089",Strucker,I am going to surrender.,0.98,I am going to surrender
56,"00:04:35,760","00:04:37,171",Strucker,You delete everything.,0.86,You will delete everything
57,"00:04:37,320","00:04:40,690",Steve Rogers,"If we give the Avengers the weapons, they may not look too far into what we've been...",0.89,"Stark, we really need to get inside"
58,"00:04:40,840","00:04:42,922",Dr. List,The twins.,0.84,The twins
59,"00:04:40,840","00:04:42,922",Steve Rogers,They are not ready to take on...,0.84,"Stark, we really need to get inside"
60,"00:04:43,040","00:04:45,247",Dr. List,"No, no, I mean...",0.85,"No, no"
61,"00:04:45,360","00:04:46,850",Dr. List,Twins.,0.45,Twins
62,"00:05:13,160","00:05:15,083",Pietro Maximoff,You didn't see that coming?,0.98,You didn't see that coming
63,"00:05:21,360","00:05:23,681",Natasha Romanoff,Clint!,0.57,Clint
64,"00:05:25,760","00:05:27,080",Steve Rogers,We have an Enhanced in the field.,0.99,We have an enhanced in the field
65,"00:05:27,160","00:05:28,161",Natasha Romanoff,Clint's hit!,0.93,Clint's hit
66,"00:05:32,560","00:05:34,080",Natasha Romanoff,Somebody want to deal with that bunker?,0.97,Somebody want to deal with that bunker
67,"00:05:38,080","00:05:39,286",Natasha Romanoff,Thank you.,0.87,Thank you
68,"00:05:46,400","00:05:48,880",Steve Rogers,"Stark, we really need to get inside.",0.99,"Stark, we really need to get inside"
69,"00:05:49,280","00:05:50,281",Tony Stark,I'm closing in.,0.97,I'm closing in
70,"00:05:53,400","00:05:55,528",Tony Stark,"Jarvis, am I closing in?",0.91,I'm closing in
71,"00:05:56,520","00:05:58,443",Tony Stark,Do you see a power source for that shield?,0.98,Do you see a power source for that shield
72,"00:05:58,600","00:06:01,126",JARVIS,There's a particle wave below the north tower.,0.99,There's a particle wave below the north tower
73,"00:06:01,240","00:06:03,242",Tony Stark,"Great, I want to poke it with something.",0.92,"Great, I wanna poke it with something"
74,"00:06:11,200","00:06:13,123",Tony Stark,"The drawbridge is down, people.",0.91,"Drawbridge is down, people"
75,"00:06:17,280","00:06:19,282",Thor,The Enhanced?,0.79,The enhanced
76,"00:06:17,280","00:06:19,282",Steve Rogers,He's a blur.,0.97,He's a blur
77,"00:06:19,960","00:06:22,080",Steve Rogers,"All the new players we've faced, I've never seen this.",0.98,"All the new player's we've faced, I've never seen this"
78,"00:06:22,480","00:06:23,766",Steve Rogers,"In fact, I still haven't.",0.98,"In fact, I still haven't"
79,"00:06:23,880","00:06:26,167",Natasha Romanoff,"Clint's hit pretty bad, guys. We're gonna need evac.",0.84,We're gonna need evac
80,"00:06:26,320","00:06:29,245",Thor,I can get Barton to the jet.,0.99,I can get Barton to the jet
81,"00:06:26,320","00:06:29,245",Thor,"The sooner we're gone, the better.",0.95,The sooner we're gone the better
82,"00:06:29,400","00:06:31,721",Thor,You and Stark secure the sceptre.,0.93,You and Stark secure the scepter
83,"00:06:29,400","00:06:31,721",Steve Rogers,Copy that.,0.83,Copy that
84,"00:06:32,960","00:06:34,769",Thor,Looks like they're lining up.,0.91,It looks like they're lining up
85,"00:06:35,080","00:06:36,570",Steve Rogers,"Well, they're excited.",0.97,"Well, they're excited"
86,"00:06:40,440","00:06:41,805",Thor,Find the sceptre.,0.8,Find the scepter
87,"00:06:42,800","00:06:45,007",Tony Stark,"And for gosh sake, watch your language!",0.98,"And for gosh sake, watch your language"
88,"00:06:46,480","00:06:48,403",Steve Rogers,That's not going away any time soon.,0.94,That's not going away anytime soon
89,"00:06:54,320","00:06:56,527",Tony Stark,"Guys, stop. We gotta talk this through.",0.92,"Guys, stop, we gotta talk this through"
90,"00:06:59,520","00:07:02,166",Tony Stark,It was a good talk.,0.98,It was a good talk
91,"00:06:59,520","00:07:02,166",Fortress Soldier,"No, it wasn't.",0.91,No it wasn't
92,"00:07:08,360","00:07:10,283",Tony Stark,Sentry mode.,0.86,Sentry mode
93,"00:07:12,640","00:07:16,603",Tony Stark,"Okay, Jarvis, you know. I want it all.",0.88,You know I want it all
94,"00:07:12,640","00:07:16,603",Tony Stark,Make sure you copy Hill at HQ.,0.97,Make sure you copy Hill at HQ
95,"00:07:21,000","00:07:22,286",Natasha Romanoff,We're locked down out here.,0.98,We're locked down out here
96,"00:07:22,840","00:07:24,968",Steve Rogers,Then get to Banner. Time for a lullaby.,0.93,"Then get to Banner, time for a lullaby"
97,"00:07:28,680","00:07:30,762",Tony Stark,I know you're hiding more than files.,0.99,I know you're hiding more than files
98,"00:07:31,960","00:07:34,566",Tony Stark,"Hey, J, give me an IR scan of the room, real quick.",0.99,"Hey, J, give me an IR scan of the room, real quick"
99,"00:07:34,720","00:07:36,245",JARVIS,The wall to your left.,0.98,The wall to your left
100,"00:07:36,360","00:07:38,010",JARVIS,I'm reading steel reinforcement,1.0,I'm reading steel reinforcement
101,"00:07:39,240","00:07:40,890",JARVIS,and an air current.,0.97,and an air current
102,"00:07:41,200","00:07:42,201",Tony Stark,Please be a secret door.,0.97,"Please be a secret door, please be a secret door, please be a secret door"
