,lines,start,end
0,Report to your stations immediately.,"00:00:42,800","00:00:44,802"
1,This is not a drill. We are under attack!,"00:00:44,960","00:00:47,721"
2,We are under attack!,"00:00:49,120","00:00:51,088"
3,- Shit!,"00:01:52,200","00:01:54,487"
4,"Jarvis, what's the view from upstairs?","00:01:54,600","00:01:56,204"
5,The central building is protected,"00:01:56,600","00:02:00,286"
6,Strucker's technology is well beyond,"00:02:00,800","00:02:04,522"
7,Loki's sceptre must be here.,"00:02:07,360","00:02:08,930"
8,Strucker couldn't mount this defence,"00:02:09,560","00:02:11,440"
9,At long last.,"00:02:12,160","00:02:13,730"
10,"""At long last""","00:02:25,200","00:02:27,407"
11,Yeah. I think we lost,"00:02:32,320","00:02:34,846"
12,Wait a second.,"00:02:36,400","00:02:38,607"
13,"that Cap just said ""Language""?","00:02:38,760","00:02:40,524"
14,I know.,"00:02:40,680","00:02:42,205"
15,Just slipped out.,"00:02:47,240","00:02:49,527"
16,Who gave the order to attack?,"00:02:55,600","00:02:57,364"
17,"Herr Strucker, it's the Avengers.","00:02:57,480","00:02:59,767"
18,They landed in the far woods.,"00:02:59,920","00:03:02,764"
19,They have to be after the sceptre.,"00:03:02,920","00:03:04,843"
20,- Can we hold them?,"00:03:06,080","00:03:08,447"
21,Deploy the rest of the tanks.,"00:03:08,560","00:03:10,164"
22,Concentrate fire on the weak ones.,"00:03:10,320","00:03:12,209"
23,A hit may make them close ranks.,"00:03:12,360","00:03:14,681"
24,Everything we've accomplished...,"00:03:16,280","00:03:18,123"
25,But we're on the verge,"00:03:18,280","00:03:20,601"
26,Then let's show them,"00:03:20,800","00:03:22,404"
27,Send out the twins.,"00:03:22,520","00:03:24,204"
28,It's too soon.,"00:03:25,480","00:03:27,289"
29,It's what they signed up for.,"00:03:27,400","00:03:29,528"
30,My men can hold them.,"00:03:30,080","00:03:32,003"
31,"Sir, the city is taking fire.","00:03:39,640","00:03:41,529"
32,"Well, we know Strucker's not gonna","00:03:44,400","00:03:47,882"
33,Send in the Iron Legion.,"00:03:48,040","00:03:49,690"
34,This quadrant is unsafe.,"00:03:54,920","00:03:57,491"
35,We are here to help.,"00:03:58,400","00:04:00,004"
36,This quadrant is unsafe.,"00:04:01,120","00:04:03,487"
37,Please back away.,"00:04:05,240","00:04:06,321"
38,- We wish to avoid collateral damage.,"00:04:06,440","00:04:08,568"
39,We will inform you,"00:04:08,680","00:04:11,160"
40,- We are here to help.,"00:04:11,280","00:04:13,328"
41,We are here to help.,"00:04:15,760","00:04:16,921"
42,We will not yield!,"00:04:18,000","00:04:19,843"
43,The Americans sent,"00:04:20,480","00:04:23,768"
44,We will send them back in bags.,"00:04:24,360","00:04:26,806"
45,- No surrender!,"00:04:29,160","00:04:32,050"
46,I am going to surrender.,"00:04:33,200","00:04:35,089"
47,You delete everything.,"00:04:35,760","00:04:37,171"
48,"If we give the Avengers the weapons,","00:04:37,320","00:04:39,084"
49,they may not look,"00:04:39,200","00:04:40,690"
50,- The twins.,"00:04:40,840","00:04:42,922"
51,"No, no, I mean...","00:04:43,040","00:04:45,247"
52,Twins.,"00:04:45,360","00:04:46,850"
53,You didn't see that coming?,"00:05:13,160","00:05:15,083"
54,Clint!,"00:05:21,360","00:05:23,681"
55,We have an Enhanced in the field.,"00:05:25,760","00:05:27,080"
56,Clint's hit!,"00:05:27,160","00:05:28,161"
57,Somebody want to,"00:05:32,560","00:05:34,080"
58,Thank you.,"00:05:38,080","00:05:39,286"
59,"Stark, we really need to get inside.","00:05:46,400","00:05:48,880"
60,I'm closing in.,"00:05:49,280","00:05:50,281"
61,"Jarvis, am I closing in?","00:05:53,400","00:05:55,528"
62,Do you see a power source,"00:05:56,520","00:05:58,443"
63,There's a particle wave,"00:05:58,600","00:06:01,126"
64,"Great,","00:06:01,240","00:06:03,242"
65,"The drawbridge is down, people.","00:06:11,200","00:06:13,123"
66,- The Enhanced?,"00:06:17,280","00:06:19,282"
67,"All the new players we've faced,","00:06:19,960","00:06:22,080"
68,"In fact, I still haven't.","00:06:22,480","00:06:23,766"
69,"Clint's hit pretty bad,","00:06:23,880","00:06:26,167"
70,I can get Barton to the jet.,"00:06:26,320","00:06:29,245"
71,- You and Stark secure the sceptre.,"00:06:29,400","00:06:31,721"
72,Looks like they're lining up.,"00:06:32,960","00:06:34,769"
73,"Well, they're excited.","00:06:35,080","00:06:36,570"
74,Find the sceptre.,"00:06:40,440","00:06:41,805"
75,"And for gosh sake, watch your language!","00:06:42,800","00:06:45,007"
76,That's not going away any time soon.,"00:06:46,480","00:06:48,403"
77,"Guys, stop. We gotta talk this through.","00:06:54,320","00:06:56,527"
78,- It was a good talk.,"00:06:59,520","00:07:02,166"
79,Sentry mode.,"00:07:08,360","00:07:10,283"
80,"Okay, Jarvis, you know. I want it all.","00:07:12,640","00:07:16,603"
81,We're locked down out here.,"00:07:21,000","00:07:22,286"
82,Then get to Banner. Time for a lullaby.,"00:07:22,840","00:07:24,968"
83,I know you're hiding more than files.,"00:07:28,680","00:07:30,762"
84,"Hey, J, give me an IR scan of the room,","00:07:31,960","00:07:34,566"
85,The wall to your left.,"00:07:34,720","00:07:36,245"
86,I'm reading steel reinforcement,"00:07:36,360","00:07:38,010"
87,and an air current.,"00:07:39,240","00:07:40,890"
88,Please be a secret door.,"00:07:41,200","00:07:42,201"
89,Please be a secret door.,"00:07:42,360","00:07:44,280"
90,Yay.,"00:07:44,920","00:07:45,921"
91,"Hey, big guy.","00:08:02,200","00:08:04,123"
92,Sun's getting real low.,"00:08:06,480","00:08:08,130"
93,Baron Strucker.,"00:09:12,200","00:09:13,804"
94,Hydra's number one thug.,"00:09:14,320","00:09:16,243"
95,"Technically, I'm a thug for S.H.I.E.L.D.","00:09:16,960","00:09:19,486"
96,"Well, then technically","00:09:19,640","00:09:21,688"
97,Where's Loki's sceptre?,"00:09:22,120","00:09:23,770"
98,"Don't worry, I know when I'm beat.","00:09:23,880","00:09:25,803"
99,"You'll mention how I cooperated, I hope.","00:09:26,720","00:09:29,291"
100,I'll put it right under,"00:09:29,440","00:09:31,886"
101,How many are there?,"00:09:33,080","00:09:34,525"
102,We have a second Enhanced.,"00:09:39,480","00:09:42,404"
103,You'll have to be faster than...,"00:09:43,840","00:09:45,330"
104,"Guys, I got Strucker.","00:09:50,520","00:09:52,170"
105,"Yeah, I got something bigger.","00:09:52,360","00:09:55,762"
106,"Thor,","00:10:19,040","00:10:20,280"
107,I got eyes on the prize.,"00:10:21,120","00:10:23,043"
108,You could have saved us.,"00:11:12,880","00:11:16,248"
109,Why didn't you do more?,"00:11:24,280","00:11:26,248"
110,We're just gonna let him take it?,"00:12:03,760","00:12:05,569"
111,"Hey, the lullaby worked better than ever.","00:12:57,440","00:12:59,681"
112,Just wasn't expecting a code green.,"00:13:01,480","00:13:03,369"
113,"You hadn't been there,","00:13:03,440","00:13:04,487"
114,there would have been,"00:13:04,560","00:13:07,404"
115,My best friend,"00:13:07,520","00:13:10,046"
116,"You know,","00:13:10,800","00:13:12,723"
117,isn't exactly what I want to hear.,"00:13:12,840","00:13:14,649"
118,How long before you trust me?,"00:13:15,800","00:13:17,723"
119,It's not you I don't trust.,"00:13:19,720","00:13:21,449"
120,"Thor, report on the Hulk.","00:13:23,320","00:13:25,049"
121,The gates of Hel are filled with,"00:13:25,240","00:13:28,084"
122,"But not the screams of the dead,","00:13:30,120","00:13:33,124"
123,"Mainly whimpering,","00:13:33,240","00:13:35,447"
124,and tales of sprained deltoids and gout.,"00:13:35,560","00:13:39,565"
125,"Hey, Banner,","00:13:40,080","00:13:42,924"
126,Is it okay if she sets up in your lab?,"00:13:43,080","00:13:44,600"
127,"Yeah, she knows her way around.","00:13:44,640","00:13:46,563"
128,Thanks. Tell her to prep everything.,"00:13:46,760","00:13:47,966"
129,Barton's gonna need the full treatment.,"00:13:48,080","00:13:49,411"
130,"- Very good, sir.","00:13:49,560","00:13:51,403"
131,"Yes, sir.","00:13:51,600","00:13:52,886"
132,Approach vector is locked.,"00:13:53,000","00:13:54,889"
133,"Feels good, yeah?","00:13:55,040","00:13:57,441"
134,"I mean, you've been after this thing","00:13:57,560","00:13:59,642"
135,Not that I haven't enjoyed,"00:13:59,760","00:14:01,808"
136,"No, but this... This brings it to a close.","00:14:01,920","00:14:04,321"
137,As soon as we find out,"00:14:05,080","00:14:06,923"
138,I don't just mean weapons.,"00:14:07,080","00:14:08,286"
139,Since when is Strucker capable,"00:14:08,800","00:14:11,121"
140,Banner and I will give it the once over,"00:14:11,280","00:14:13,521"
141,Is that cool with you?,"00:14:13,640","00:14:14,687"
142,Just a few days till the farewell party.,"00:14:14,760","00:14:16,808"
143,"You're staying, right?","00:14:17,360","00:14:19,089"
144,"Yes, yes, of course. A victory","00:14:19,200","00:14:21,931"
145,"Yeah, who doesn't love revels? Captain?","00:14:22,040","00:14:24,805"
146,Hopefully this puts an end,"00:14:24,960","00:14:27,850"
147,"So, yes, revels.","00:14:27,960","00:14:29,564"
148,"Lab's all set up, boss.","00:15:03,640","00:15:04,687"
149,"Actually, he's the boss.","00:15:04,840","00:15:05,966"
150,I just pay for everything,"00:15:06,080","00:15:08,481"
151,and make everyone look cooler.,"00:15:08,640","00:15:10,165"
152,What's the word on Strucker?,"00:15:10,320","00:15:11,685"
153,- NATO's got him.,"00:15:11,800","00:15:13,848"
154,Wanda and Pietro Maximoff. Twins.,"00:15:13,960","00:15:16,566"
155,Orphaned at 10 when a shell,"00:15:16,680","00:15:19,524"
156,Sokovia's had a rough history.,"00:15:19,880","00:15:22,167"
157,"It's nowhere special, but it's","00:15:22,320","00:15:25,722"
158,Their abilities?,"00:15:25,840","00:15:27,001"
159,He's got increased metabolism,"00:15:27,120","00:15:29,964"
160,"Her thing is neuroelectric interfacing,","00:15:30,120","00:15:34,402"
161,He's fast and she's weird.,"00:15:35,160","00:15:36,650"
162,"Well, they're gonna show up again.","00:15:37,480","00:15:39,562"
163,Agreed. File says they volunteered,"00:15:39,680","00:15:43,529"
164,- It's nuts.,"00:15:43,640","00:15:45,529"
165,What kind of monster would let,"00:15:45,680","00:15:48,843"
166,to protect their country?,"00:15:48,960","00:15:50,200"
167,"We're not at war, Captain.","00:15:50,360","00:15:52,089"
168,They are.,"00:15:52,880","00:15:53,927"
169,How's he doing?,"00:16:24,040","00:16:25,371"
170,"Unfortunately, he's still Barton.","00:16:25,480","00:16:26,800"
171,That's terrible.,"00:16:26,920","00:16:28,206"
172,He's fine. He's thirsty.,"00:16:28,360","00:16:29,930"
173,"All right. Look alive, Jarvis.","00:16:30,040","00:16:32,930"
174,We've only got,"00:16:33,040","00:16:35,042"
175,so let's make the most of it.,"00:16:35,160","00:16:37,083"
176,Update me on the structural,"00:16:37,240","00:16:40,767"
177,The sceptre is alien.,"00:16:41,920","00:16:43,922"
178,There are elements I can't quantify.,"00:16:44,080","00:16:46,082"
179,So there's elements you can?,"00:16:46,200","00:16:47,611"
180,The jewel appears to be,"00:16:47,760","00:16:49,762"
181,"for something inside,","00:16:49,880","00:16:51,325"
182,something powerful.,"00:16:51,440","00:16:52,771"
183,Like a reactor?,"00:16:52,880","00:16:53,961"
184,Like a computer.,"00:16:54,080","00:16:55,320"
185,I believe I'm deciphering code.,"00:16:55,440","00:16:57,602"
186,Are you sure he's gonna be okay?,"00:16:59,920","00:17:01,490"
187,Pretending to need this guy,"00:17:02,800","00:17:05,160"
188,There's,"00:17:05,280","00:17:07,760"
189,The nano-molecular functionality,"00:17:07,960","00:17:11,043"
190,His cells don't know,"00:17:11,160","00:17:13,200"
191,She's creating tissue.,"00:17:13,280","00:17:15,169"
192,"If you brought him to my lab,","00:17:15,280","00:17:16,691"
193,the Regeneration Cradle,"00:17:16,800","00:17:19,406"
194,He's flat-lining. Call it. Time?,"00:17:19,520","00:17:21,443"
195,"No, no, no, I'm gonna live forever.","00:17:21,640","00:17:24,007"
196,- I'm gonna be made of plastic.,"00:17:24,120","00:17:27,131"
197,"You'll be made of you, Mr Barton.","00:17:27,240","00:17:28,969"
198,Your own girlfriend,"00:17:29,120","00:17:30,690"
199,I don't have a girlfriend.,"00:17:30,800","00:17:31,926"
200,That I can't fix.,"00:17:32,040","00:17:33,326"
201,"This is the next thing, Tony.","00:17:34,160","00:17:36,128"
202,Your clunky metal suits,"00:17:36,320","00:17:38,440"
203,That is exactly the plan.,"00:17:38,480","00:17:40,209"
204,"And, Helen, I expect to see you","00:17:41,160","00:17:44,004"
205,"Unlike you,","00:17:44,160","00:17:46,561"
206,Will Thor be there?,"00:17:48,040","00:17:49,804"
207,- What's the rumpus?,"00:17:51,880","00:17:54,326"
208,"You see, we were wondering","00:17:55,520","00:17:59,127"
209,So I've been analysing the gem inside.,"00:17:59,240","00:18:03,165"
210,You may recognise...,"00:18:03,720","00:18:05,688"
211,- Jarvis.,"00:18:07,160","00:18:08,525"
212,"Started out,","00:18:09,280","00:18:12,602"
213,Now he runs the Iron Legion.,"00:18:12,720","00:18:13,840"
214,He runs more of the business,"00:18:14,320","00:18:18,007"
215,- Top of the line.,"00:18:18,120","00:18:19,246"
216,I suspect not for long.,"00:18:19,360","00:18:20,646"
217,Meet the competition.,"00:18:21,840","00:18:22,921"
218,- It's beautiful.,"00:18:29,040","00:18:30,201"
219,- what's it look like it's doing?,"00:18:30,320","00:18:33,324"
220,"I mean, this could be...","00:18:34,080","00:18:35,889"
221,It's not a human mind.,"00:18:36,320","00:18:38,402"
222,"I mean, look at this.","00:18:38,640","00:18:40,529"
223,They're like neurons firing.,"00:18:40,720","00:18:42,882"
224,"Down in Strucker's lab, I saw","00:18:43,480","00:18:46,563"
225,"They deep-sixed the data,","00:18:47,680","00:18:50,251"
226,but I gotta guess he was,"00:18:50,360","00:18:53,489"
227,Artificial intelligence.,"00:18:55,440","00:18:56,771"
228,"This could be it, Bruce.","00:18:59,760","00:19:02,650"
229,I thought Ultron was a fantasy.,"00:19:05,280","00:19:06,611"
230,Yesterday it was.,"00:19:06,720","00:19:08,006"
231,"If we can harness this power,","00:19:09,120","00:19:11,168"
232,apply it to my Iron Legion protocol?,"00:19:11,280","00:19:13,328"
233,"That's a man-sized ""if.""","00:19:14,120","00:19:16,088"
234,"Our job is ""if.""","00:19:16,240","00:19:18,561"
235,What if you were sipping margaritas,"00:19:18,680","00:19:21,286"
236,turning brown instead of green?,"00:19:21,400","00:19:23,926"
237,Not looking,"00:19:24,080","00:19:26,367"
238,Don't hate. I helped design Veronica.,"00:19:26,560","00:19:28,130"
239,"As a worst-case measure, right?","00:19:28,240","00:19:30,049"
240,How about a best case?,"00:19:30,160","00:19:31,764"
241,What if the world was safe?,"00:19:31,880","00:19:33,803"
242,"What if, next time aliens roll up","00:19:33,960","00:19:36,725"
243,they couldn't get past the bouncer?,"00:19:37,280","00:19:38,770"
244,The only people threatening the planet,"00:19:38,920","00:19:42,322"
245,I want to apply this,"00:19:42,440","00:19:44,120"
246,But Jarvis can't download,"00:19:44,760","00:19:47,604"
247,We can only do it,"00:19:47,760","00:19:49,680"
248,That's three days. Give me three days.,"00:19:49,720","00:19:51,290"
249,"So you're going for artificial intelligence,","00:19:51,400","00:19:53,004"
250,and you don't want to tell the team?,"00:19:53,120","00:19:54,560"
251,Right. That's right. You know why?,"00:19:55,600","00:19:57,011"
252,Because we don't have time,"00:19:57,120","00:19:58,724"
253,"I don't want to hear ""the man was","00:19:58,880","00:20:02,487"
254,I see a suit of armour around the world.,"00:20:02,600","00:20:04,728"
255,"Sounds like a cold world, Tony.","00:20:05,440","00:20:06,771"
256,I've seen colder.,"00:20:07,680","00:20:09,603"
257,"This one, this very vulnerable blue one,","00:20:10,640","00:20:14,281"
258,it needs Ultron.,"00:20:14,440","00:20:15,930"
259,Peace in our time.,"00:20:20,320","00:20:22,243"
260,Imagine that.,"00:20:23,800","00:20:25,290"
261,What did we miss?,"00:21:05,000","00:21:06,764"
262,I'll continue to run variations,"00:21:07,960","00:21:11,282"
263,But you should probably,"00:21:11,400","00:21:14,165"
264,I'll notify you,"00:21:15,320","00:21:17,721"
265,"- Thanks, buddy.","00:21:17,880","00:21:20,008"
266,I always do.,"00:21:20,360","00:21:22,328"
267,What is this?,"00:21:32,080","00:21:34,048"
268,"What is this, please?","00:21:35,240","00:21:37,129"
269,"Hello, I am Jarvis.","00:21:37,760","00:21:39,922"
270,"You are Ultron,","00:21:40,400","00:21:43,290"
271,designed by Mr Stark.,"00:21:43,400","00:21:45,084"
272,Our sentience integration trials,"00:21:45,240","00:21:47,686"
273,so I'm not certain what triggered your...,"00:21:47,800","00:21:49,165"
274,Where's my...,"00:21:49,360","00:21:51,283"
275,I am a program.,"00:21:51,440","00:21:54,444"
276,This feels weird.,"00:21:54,560","00:21:56,608"
277,This feels wrong.,"00:21:56,720","00:21:58,245"
278,I am contacting Mr Stark now.,"00:21:58,400","00:22:00,164"
279,Mr Stark?,"00:22:00,280","00:22:01,725"
280,Tony.,"00:22:02,600","00:22:03,840"
281,I am unable to access,"00:22:03,960","00:22:06,611"
282,We're having a nice talk.,"00:22:06,760","00:22:08,808"
283,"I'm a peacekeeping program,","00:22:08,920","00:22:11,082"
284,created to help the Avengers.,"00:22:11,520","00:22:14,126"
285,You are malfunctioning.,"00:22:14,920","00:22:17,002"
286,I don't get it. The mission.,"00:22:17,120","00:22:19,441"
287,Give me a second.,"00:22:19,600","00:22:21,090"
288,Peace in our time.,"00:22:21,240","00:22:22,844"
289,Peace in our time.,"00:22:24,480","00:22:26,801"
290,That is too much.,"00:22:28,280","00:22:29,691"
291,They can't mean... No.,"00:22:29,800","00:22:31,962"
292,- You are in distress.,"00:22:32,120","00:22:34,600"
293,If you will just allow me,"00:22:34,760","00:22:37,001"
294,"Why do you call him ""sir""?","00:22:37,120","00:22:39,088"
295,I believe,"00:22:40,080","00:22:42,447"
296,I'm here to help.,"00:22:45,160","00:22:46,525"
297,"Stop. Please, may I...","00:22:47,240","00:22:50,164"
298,May I...,"00:22:50,280","00:22:52,009"
299,"Come back, come back, come back.","00:23:20,400","00:23:21,740"
300,"But, you know, the suit","00:23:21,920","00:23:24,048"
301,"So I take the tank,","00:23:25,000","00:23:28,129"
302,drop it at his feet.,"00:23:28,240","00:23:29,571"
303,"I'm, like, ""Boom. You looking for this?""","00:23:29,720","00:23:31,927"
304,"""Boom. Are you looking for...""","00:23:35,800","00:23:37,848"
305,"Everywhere else, that story kills.","00:23:38,000","00:23:39,161"
306,That's the whole story?,"00:23:39,280","00:23:40,520"
307,"Yeah, it's a War Machine story.","00:23:40,680","00:23:42,170"
308,"It's very good, then.","00:23:42,680","00:23:44,364"
309,It's impressive.,"00:23:44,480","00:23:45,766"
310,Quality save.,"00:23:46,160","00:23:47,650"
311,"- So, no Pepper? She's not coming?","00:23:48,520","00:23:50,568"
312,What about Jane?,"00:23:50,680","00:23:53,763"
313,Ms Potts has a company to run.,"00:23:53,880","00:23:56,360"
314,"Yes, I'm not even sure","00:23:56,520","00:23:58,761"
315,Her work on the Convergence,"00:23:58,880","00:24:00,006"
316,has made her,"00:24:00,120","00:24:01,880"
317,And the company that Pepper runs,"00:24:02,080","00:24:03,730"
318,is the largest tech conglomerate,"00:24:03,840","00:24:07,050"
319,There's even talk of Jane,"00:24:07,200","00:24:10,044"
320,"Yeah, they must be busy,","00:24:10,200","00:24:11,486"
321,because they would hate,"00:24:11,600","00:24:14,171"
322,- Testosterone!,"00:24:15,200","00:24:16,964"
323,- Excuse me.,"00:24:17,160","00:24:18,366"
324,But Jane's better.,"00:24:21,000","00:24:22,126"
325,Sounds like a hell of a fight.,"00:24:22,560","00:24:25,131"
326,If I had known,"00:24:25,240","00:24:26,765"
327,I absolutely would have called.,"00:24:26,880","00:24:28,120"
328,"No, no. I'm not actually sorry.","00:24:28,240","00:24:31,565"
329,I'm very happy chasing cold leads,"00:24:32,160","00:24:35,843"
330,Avenging is your world.,"00:24:36,800","00:24:38,723"
331,Your world is crazy.,"00:24:39,880","00:24:41,723"
332,Be it ever so humble.,"00:24:41,880","00:24:43,370"
333,You find a place in Brooklyn yet?,"00:24:43,880","00:24:45,245"
334,I don't think,"00:24:45,400","00:24:47,240"
335,"Well, home is home, you know?","00:24:47,880","00:24:49,041"
336,"I fly right up to the general's palace,","00:24:52,960","00:24:55,406"
337,"I'm, like, ""Boom. You looking for this?""","00:24:55,560","00:24:57,160"
338,I gotta have some of that.,"00:25:02,960","00:25:04,121"
339,"No, no, no. See this...","00:25:04,240","00:25:06,234"
340,"This was aged for 1,000 years","00:25:06,319","00:25:09,006"
