,speakers,captions,lines
0,Announcer,"['announcement over speaker, set over Wanda and Pietro holding hands', 'the Avengers are in the process of infiltrating a HYDRA base in Sokovia, making their way through the woods and fighting soldiers']",Report to your stations immediately. This is not a drill. We are under attack. We are under attack.
1,Tony Stark,"['Tony, flying up to the base in his suit, hits a forcefield.']",Shit!
2,Steve Rogers,,"Language! JARVIS, what's the view from upstairs?"
3,JARVIS,,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other HYDRA base we've taken.
4,Thor,,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.
5,Natasha Romanoff,,"â€śAt long lastâ€ť is lasting a little long, boys."
6,Clint Barton,['as some soldiers shoot at him'],Yeah. I think we lost the element of surprise.
7,Tony Stark,,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?"""
8,Steve Rogers,['Steve throws his bike at some soldiers driving up in their truck'],I know.  It just slipped out.
9,Strucker,,Who gave the order to attack?
10,Fortress Soldier,,"Herr Strucker, it's the Avengers."
11,Other Fortress Soldier,,"They landed in the far woods, the perimeter guard panicked."
12,Strucker,"['to List', 'to the soldier']",They have to be after the scepter.  Can we hold them?
13,Fortress Soldier,,Theyâ€™re the Avengers!
14,Strucker,,Deploy the rest of the tanks.
15,Fortress Soldier,,"Yes, sir."
16,Strucker,['talking to Dr. List'],Concentrate fire on the weak ones. A hit can make them close ranks.  Everything we've accomplished... But we're on the verge of our greatest breakthrough.
17,Dr. List,,Then let's show them what we've accomplished. Send out the twins.
18,Strucker,,It's too soon.
19,Dr. List,,It's what they signed up for.
20,Strucker,,My men can hold them.
21,Jarvis,,"Sir, the city is taking fire."
22,Tony Stark,,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion."
23,Iron Legion,"['the Iron Legion flies in; to the civilians', 'As the civilians chant ""Avengers go home,"" a man throws a bottle of something corrosive at the Iron Legion, and it hits one of the bots in the head']",This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.  We are here to help.
24,Strucker,,We will not yield. The Americans sent their circus freaks to test us. We will send them back in bags. No surrender!
25,Soldiers,,No surrender!
26,Strucker,['quietly to List'],"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been--"
27,Dr. List,,The twins.
28,Strucker,,They are not ready to take on--
29,Dr. List,"['he points to where Wanda and Pietro Maximoff were standing, but are now gone']","No, no. I mean...  Twins."
30,Pietro Maximoff,,You didn't see that coming?
31,Natasha Romanoff,,Clint!
32,Steve Rogers,,We have an enhanced in the field.
33,Natasha Romanoff,"['Natasha goes over to where Clint is lying down', 'she sees the Hulk coming in, and he barrels through the bunker and destroys it']",Clint's hit!  Somebody want to deal with that bunker?  Thank you.
34,Steve Rogers,"[""as he's fighting with the soldiers""]","Stark, we really need to get inside."
35,Tony Stark,,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?"
